Site,Slope,Actinobacteria,Unclassified,Proteobacteria
Sterling,Summit,1.09E+03,1.46E+02,9.23E+05
Sterling,Side,1.29E+03,0.00E+00,3.12E+06
Sterling,Toe,0.00E+00,0.00E+00,7.85E+06
Stratton,Summit,0.00E+00,0.00E+00,1.09E+06
Stratton,Side,0.00E+00,0.00E+00,3.23E+06
Stratton,Toe,0.00E+00,0.00E+00,6.91E+06
Walsh,Summit,2.60E+01,0.00E+00,1.58E+05
Walsh,Side,9.38E+02,0.00E+00,4.03E+05
Walsh,Toe,0.00E+00,8.30E+01,9.21E+05
